Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
package-redelivery-slot.com,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
bulksmsclub.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
gregphillipslaw.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
lesterwire.com,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
yiyate.cn,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
backchef.com,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
yu6zjs0.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
zmkxw.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
mustnecessarydt.vetriscence.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
masruhasf.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
freeblunt.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
tegourmetsr.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
gadgethub.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
easytrafficexchange.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
dfkoqm.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
recoveryvxn.top,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
accoun.musiciu.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
wejcsbin.cyou,0,0,0,2,0,0,0,0,1,0,0,1,1,1,1,1
foodoriger-envntur.longmusic.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
myjcbing-fo.com,0,0,0,2,0,0,0,1,1,0,0,1,1,1,1,1
hairdressers.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
sruzjs.com,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
ydpnpfycbh.9516899.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
securitylink01.co.jp.xxjcb.net,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1
rewtbvp-iscalort.misecure.com,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1
vkulhjx.com,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
huidaguai.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
www2viewsnet.vcxewt456.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
phantoscreens.com,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
lfplanroom.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
